ds,y
2020-05-01 16:25:54.703000069,31885
2020-05-01 16:26:54.703000069,31887
2020-05-01 16:27:54.703000069,31889
2020-05-01 16:28:54.703000069,31891
2020-05-01 16:29:54.703000069,31893
2020-05-01 16:30:54.703000069,31895
2020-05-01 16:31:54.703000069,31897
2020-05-01 16:32:54.703000069,31899
2020-05-01 16:33:54.703000069,31901
2020-05-01 16:34:54.703000069,31903
2020-05-01 16:35:54.703000069,31905
2020-05-01 16:36:54.703000069,31907
2020-05-01 16:37:54.703000069,31909
2020-05-01 16:38:54.703000069,31911
2020-05-01 16:39:54.703000069,31913
2020-05-01 16:40:54.703000069,31915
2020-05-01 16:41:54.703000069,31917
2020-05-01 16:42:54.703000069,31919
2020-05-01 16:43:54.703000069,31921
2020-05-01 16:44:54.703000069,31923
2020-05-01 16:45:54.701999903,31925
2020-05-01 16:46:54.703000069,31927
2020-05-01 16:47:54.701999903,31929
2020-05-01 16:48:54.703000069,31931
2020-05-01 16:49:54.703000069,31933
2020-05-01 16:50:54.703000069,31935
2020-05-01 16:51:54.703000069,31937
2020-05-01 16:52:54.703000069,31939
2020-05-01 16:53:54.701999903,31941
2020-05-01 16:54:54.703000069,31943
2020-05-01 16:55:54.703000069,31945
2020-05-01 16:56:54.703000069,31947
2020-05-01 16:57:54.703000069,31949
2020-05-01 16:58:54.703000069,31951
2020-05-01 16:59:54.703000069,31953
2020-05-01 17:00:54.703000069,31955
2020-05-01 17:01:54.701999903,31957
2020-05-01 17:02:54.703000069,31959
2020-05-01 17:03:54.701999903,31961
2020-05-01 17:04:54.703000069,31963
2020-05-01 17:05:54.703000069,31965
2020-05-01 17:06:54.703000069,31967
2020-05-01 17:07:54.703000069,31969
2020-05-01 17:08:54.703000069,31971
2020-05-01 17:09:54.703000069,31973
2020-05-01 17:10:54.703000069,31975
2020-05-01 17:11:54.703000069,31977
2020-05-01 17:12:54.703000069,31979
2020-05-01 17:13:54.703000069,31981
2020-05-01 17:14:54.701999903,31983
2020-05-01 17:15:54.703000069,31985
2020-05-01 17:16:54.703000069,31987
2020-05-01 17:17:54.703000069,31989
2020-05-01 17:18:54.703000069,31991
2020-05-01 17:19:54.703000069,31993
2020-05-01 17:20:54.701999903,31995
2020-05-01 17:21:54.703000069,31997
2020-05-01 17:22:54.703000069,31999
2020-05-01 17:23:54.703000069,32001
2020-05-01 17:24:54.701999903,32003
2020-05-01 17:25:54.703000069,32005
2020-05-01 17:26:54.703000069,32007
2020-05-01 17:27:54.703000069,32009
2020-05-01 17:28:54.703000069,32011
2020-05-01 17:29:54.703000069,32013
2020-05-01 17:30:54.701999903,32015
2020-05-01 17:31:54.703000069,32017
2020-05-01 17:32:54.703000069,32019
2020-05-01 17:33:54.703000069,32021
2020-05-01 17:34:54.703000069,32023
2020-05-01 17:35:54.703000069,32025
2020-05-01 17:36:54.703000069,32027
2020-05-01 17:37:54.703000069,32029
2020-05-01 17:38:54.703000069,32031
2020-05-01 17:39:54.703000069,32033
2020-05-01 17:40:54.703000069,32035
2020-05-01 17:41:54.701999903,32037
2020-05-01 17:42:54.703000069,32039
2020-05-01 17:43:54.703000069,32041
2020-05-01 17:44:54.703000069,32043
2020-05-01 17:45:54.701999903,32045
2020-05-01 17:46:54.703000069,32047
2020-05-01 17:47:54.701999903,32049
2020-05-01 17:48:54.703000069,32051
2020-05-01 17:49:54.703000069,32053
2020-05-01 17:50:54.703000069,32055
2020-05-01 17:51:54.703000069,32057
2020-05-01 17:52:54.701999903,32059
2020-05-01 17:53:54.703000069,32061
2020-05-01 17:54:54.703000069,32063
2020-05-01 17:55:54.703000069,32065
2020-05-01 17:56:54.703000069,32067
2020-05-01 17:57:54.703000069,32069
2020-05-01 17:58:54.703000069,32071
2020-05-01 17:59:54.703000069,32073
2020-05-01 18:00:54.703000069,32075
2020-05-01 18:01:54.703000069,32077
2020-05-01 18:02:54.703000069,32079
2020-05-01 18:03:54.703000069,32081
2020-05-01 18:04:54.703000069,32083
2020-05-01 18:05:54.701999903,32085
2020-05-01 18:06:54.703000069,32087
2020-05-01 18:07:54.703000069,32089
2020-05-01 18:08:54.703000069,32091
2020-05-01 18:09:54.703000069,32093
2020-05-01 18:10:54.703000069,32095
2020-05-01 18:11:54.703000069,32097
2020-05-01 18:12:54.703000069,32099
2020-05-01 18:13:54.703000069,32101
2020-05-01 18:14:54.703000069,32103
2020-05-01 18:15:54.703000069,32105
2020-05-01 18:16:54.703000069,32107
2020-05-01 18:17:54.703000069,32109
2020-05-01 18:18:54.703000069,32111
2020-05-01 18:19:54.703000069,32113
2020-05-01 18:20:54.703000069,32115
2020-05-01 18:21:54.703000069,32117
2020-05-01 18:22:54.703000069,32119
2020-05-01 18:23:54.701999903,32121
2020-05-01 18:24:54.703000069,32123
2020-05-01 18:25:54.703000069,32125
2020-05-01 18:26:54.703000069,32127
2020-05-01 18:27:54.703000069,32129
2020-05-01 18:28:54.703000069,32131
2020-05-01 18:29:54.703000069,32133
2020-05-01 18:30:54.703000069,32135
2020-05-01 18:31:54.703000069,32137
2020-05-01 18:32:54.703000069,32139
2020-05-01 18:33:54.703000069,32141
2020-05-01 18:34:54.703000069,32143
2020-05-01 18:35:54.703000069,32145
2020-05-01 18:36:54.701999903,32147
2020-05-01 18:37:54.703000069,32149
2020-05-01 18:38:54.703000069,32151
2020-05-01 18:39:54.703000069,32153
2020-05-01 18:40:54.703000069,32155
2020-05-01 18:41:54.701999903,32157
2020-05-01 18:42:54.703000069,32159
2020-05-01 18:43:54.703000069,32161
2020-05-01 18:44:54.703000069,32163
2020-05-01 18:45:54.703000069,32165
2020-05-01 18:46:54.703000069,32167
2020-05-01 18:47:54.701999903,32169
2020-05-01 18:48:54.701999903,32171
2020-05-01 18:49:54.703000069,32173
2020-05-01 18:50:54.703000069,32175
2020-05-01 18:51:54.703000069,32177
2020-05-01 18:52:54.703000069,32179
2020-05-01 18:53:54.703000069,32181
2020-05-01 18:54:54.701999903,32183
2020-05-01 18:55:54.701999903,32185
2020-05-01 18:56:54.701999903,32187
2020-05-01 18:57:54.701999903,32189
2020-05-01 18:58:54.703000069,32191
2020-05-01 18:59:54.703000069,32193
2020-05-01 19:00:54.703000069,32195
2020-05-01 19:01:54.703000069,32197
2020-05-01 19:02:54.701999903,32199
2020-05-01 19:03:54.703000069,32201
2020-05-01 19:04:54.703000069,32203
2020-05-01 19:05:54.701999903,32205
2020-05-01 19:06:54.703000069,32207
2020-05-01 19:07:54.703000069,32209
2020-05-01 19:08:54.701999903,32211
2020-05-01 19:09:54.703000069,32213
2020-05-01 19:10:54.703000069,32215
2020-05-01 19:11:54.703000069,32217
2020-05-01 19:12:54.703000069,32219
2020-05-01 19:13:54.703000069,32221
2020-05-01 19:14:54.703000069,32223
2020-05-01 19:15:54.703000069,32225
2020-05-01 19:16:54.701999903,32227
